Rank,University,Country
1,University of Ghana,GHA
2,Kwame Nkrumah University of Science and Technology,GHA
3,University of Cape Coast,GHA
4,University of Mines and Technology,GHA
5,University for Development Studies,GHA
6,Kumasi Technical University,GHA
7,"University of Education, Winneba",GHA
8,Ghana Institute of Management and Public Administration,GHA
