Rank,University,Country
195,Hebei Medical University,CHN
196,Capital Normal University,CHN
197,Dalian Polytechnic University,CHN
198,Jilin Agricultural University,CHN
199,Yantai University,CHN
200,Yangtze University,CHN
201,Hunan University of Science and Technology,CHN
202,Chengdu University of Traditional Chinese Medicine,CHN
203,Zhengzhou University of Light Industry,CHN
204,Shanghai Normal University,CHN
205,University of Nottingham China Campus,CHN
206,Shandong University of Technology,CHN
207,Xi'an University of Architecture and Technology,CHN
208,Yunnan University of Traditional Chinese Medicines,CHN
209,Xi'an University of Science and Technology,CHN
210,Jiangxi University of Traditional Chinese Medicine,CHN
211,North China University of Technology,CHN
212,Ningxia Medical University,CHN
213,Huaiyin Institute of Technology,CHN
214,"New York University, Shanghai",CHN
215,Yunnan University,CHN
216,Shanghai Maritime University,CHN
217,Jiaxing University,CHN
218,Shanghai University of Engineering Science,CHN
219,Henan University of Science and Technology,CHN
220,Hunan University of Technology,CHN
221,China Jiliang University,CHN
222,Jiangsu University of Science and Technology,CHN
223,Shantou University Medical College,CHN
224,Zhongkai University of Agriculture and Engineering,CHN
225,Chinese Academy of Tropical Agricultural Sciences,CHN
226,Southwest Medical University,CHN
227,Xi'an Jiaotong-Liverpool University,CHN
228,University of South China,CHN
229,Chengdu University of Technology,CHN
230,Shenyang Agricultural University,CHN
231,Jiangxi Normal University,CHN
232,Henan Normal University,CHN
233,Henan Polytechnic University,CHN
234,Kunming Medical University,CHN
235,Hainan Normal University,CHN
236,Xihua University,CHN
237,Northeast Electric Power University,CHN
238,Binzhou Medical University,CHN
239,Shanghai University of Electric Power,CHN
240,Liaocheng University,CHN
241,Agricultural University of Hebei,CHN
242,Qufu Normal University,CHN
243,Zunyi Medical University,CHN
244,Central South University of Forestry and Technology,CHN
245,Northwest Normal University,CHN
246,Chengdu University of Information Technology,CHN
247,Chengdu University,CHN
248,Air Force Engineering University,CHN
249,Army Engineering University of PLA,CHN
250,Shenzhen Polytechnic,CHN
251,PLA Naval Aviation University,CHN
252,Taizhou University,CHN
253,Shanghai University of Medicine and Health Sciences,CHN
254,Shenzhen Institute of Information Technology,CHN
255,Shandong University of Traditional Chinese Medicine,CHN
256,Hunan Institute of Science and Technology,CHN
257,Guangdong Ocean University,CHN
258,Heilongjiang University,CHN
259,Weifang Medical University,CHN
260,Jiangxi University of Science and Technology,CHN
261,Zhejiang Ocean University,CHN
262,Wuhan Polytechnic University,CHN
263,Zhejiang University of Science and Technology,CHN
264,Nanyang Normal University,CHN
265,Jiangxi Science and Technology Normal University,CHN
266,Liaoning University,CHN
267,PLA Space Engineering University,CHN
268,Hebei University,CHN
269,Yunnan Agricultural University,CHN
270,Henan University of Technology,CHN
271,Tianjin University of Traditional Chinese Medicine,CHN
272,Hubei University of Medicine,CHN
273,Shandong First Medical University,CHN
274,Guilin University of Technology,CHN
275,Suzhou University of Science and Technology,CHN
276,Hainan Medical University,CHN
277,Tianjin Normal University,CHN
278,Sichuan Normal University,CHN
279,Shanxi Medical University,CHN
280,Nanchang Hangkong University,CHN
281,Bengbu Medical College,CHN
282,Gannan Medical University,CHN
