Rank,University,Country
1,Addis Ababa University,ETH
2,Jimma University,ETH
3,University of Gondar,ETH
4,Haramaya University,ETH
5,Mekelle University,ETH
6,Hawassa University,ETH
7,Bahir Dar University,ETH
8,Arba Minch University,ETH
9,Wollo University,ETH
10,Debre Markos University,ETH
11,Wolaita Sodo University,ETH
