Rank,University,Country
1,National University of Singapore,SGP
2,Nanyang Technological University,SGP
3,Ngee Ann Polytechnic,SGP
4,Singapore University of Technology and Design,SGP
5,Singapore Management University,SGP
6,Singapore Institute of Technology,SGP
7,Singapore University of Social Sciences,SGP
8,Lee Kuan Yew School of Public Policy,SGP
9,James Cook University Singapore,SGP
