Rank,University,Country
203,"University of Illinois, College of Medicine at Peoria",USA
204,College of William and Mary,USA
205,Marquette University,USA
206,"City University of New York, College of Staten Island",USA
207,Texas Tech University Health Sciences Center,USA
208,Old Dominion University,USA
209,South Dakota State University,USA
210,University of Nevada-Las Vegas,USA
211,Southern Methodist University,USA
212,University of New Hampshire,USA
213,Lehigh University,USA
214,"Louisiana State University, Health Sciences Center",USA
215,University of Wyoming,USA
216,Loma Linda University,USA
217,Xavier University of Louisiana,USA
218,"University of Texas, El Paso",USA
219,North Dakota State University,USA
220,Portland State University,USA
221,University of North Dakota,USA
222,Howard University,USA
223,State University of New York Upstate Medical University,USA
224,"University of Wisconsin, Milwaukee",USA
225,City University of New York Lehman College,USA
226,"City University of New York, Brooklyn College",USA
227,University of Central Arkansas,USA
228,The Catholic University of America,USA
229,"University of Louisiana, Lafayette",USA
230,North Carolina Central University,USA
231,Marshall University,USA
232,"University of Maine, Orono",USA
233,"University of Massachusetts, Boston",USA
234,Colorado School of Public Health,USA
235,"Washington State University, Vancouver Campus",USA
236,Ohio University,USA
237,"University of Montana, Missoula",USA
238,New York Institute of Technology,USA
239,Northern Illinois University,USA
240,Chapman University,USA
241,Western Michigan University,USA
242,Prairie View A&M University,USA
243,University of South Alabama,USA
244,"City University of New York, John Jay College of Criminal Justice",USA
245,Teachers College of Columbia University,USA
246,"University of North Carolina, Greensboro",USA
247,"University of Massachusetts, Dartmouth",USA
248,"University of Hawaii, Hilo",USA
249,Embry-Riddle Aeronautical University,USA
250,East Carolina University,USA
251,Eastern Virginia Medical School,USA
252,University of Dayton,USA
253,"University of Minnesota, Duluth",USA
254,Pittsburg State University,USA
255,University of Tulsa,USA
256,SUNY Downstate Medical Center,USA
257,New Mexico State University,USA
258,Saint John's University,USA
259,University of Northern Colorado,USA
260,Clarkson University,USA
261,Western New England University,USA
262,"University of Connecticut, Greater Hartford",USA
263,Wright State University,USA
264,New York Medical College,USA
265,"City University of New York, Queens College",USA
266,"Southern Illinois University, Carbondale",USA
267,Rowan University,USA
268,Boise State University,USA
269,Oakland University,USA
270,Cleveland State University,USA
271,Santa Clara University,USA
272,Meharry Medical College,USA
273,"Nova Southeastern University, Estados Unidos",USA
274,Rosalind Franklin University of Medicine and Science,USA
275,Lake Erie College,USA
276,University of Denver,USA
277,Fordham University,USA
278,"Baruch College, City University of New York",USA
279,University at Texas Rio Grande Valley,USA
280,University of Memphis,USA
281,"California State University, Bakersfield",USA
282,North Carolina A&T State University,USA
283,"University of Alaska, Fairbanks",USA
284,"California State University, Long Beach",USA
285,University of Southern Mississippi,USA
286,Miami University of Ohio,USA
287,Northeast Ohio Medical University,USA
288,"Penn State Erie, The Behrend College",USA
289,"Oklahoma State University, Tulsa",USA
290,Albany Medical College,USA
291,Tennessee State University,USA
292,"University of Tennessee, Chattanooga",USA
293,Albany College of Pharmacy,USA
294,Louisiana Tech University,USA
295,"California State University, Los Angeles",USA
296,American University,USA
297,Georgia Southern University,USA
298,University of the Pacific,USA
299,"California State University, Northridge",USA
300,Lamar University,USA
301,Wellesley College,USA
302,Williams College,USA
303,University of San Francisco,USA
304,Wichita State University,USA
305,"Oklahoma State University, Center for Health Sciences",USA
306,Tennessee Technological University,USA
307,Tuskegee University,USA
308,Texas Southern University,USA
309,Western University of Health Sciences,USA
310,University of New Orleans,USA
311,Creighton University,USA
312,Harvey Mudd College,USA
313,"California Polytechnic State University, San Luis Obispo",USA
314,Charles R. Drew University of Medicine & Science,USA
315,Davidson College,USA
316,Kennesaw State University,USA
317,Villanova University,USA
318,Florida Institute of Technology,USA
319,"University of Alabama, Huntsville",USA
320,Swarthmore College,USA
321,Central Michigan University,USA
322,Duquesne University,USA
323,University of South Dakota,USA
324,East Tennessee State University,USA
325,University of New Haven,USA
326,"University of Nebraska, Omaha",USA
327,Haverford College in Pennsylvania,USA
328,MCPHS University,USA
329,"California State University, Fullerton",USA
330,"Texas State University, San Marcos",USA
331,University of Arkansas at Little Rock,USA
332,Middle Tennessee State University,USA
333,San Francisco State University,USA
334,Midwestern University,USA
