name,country,alpha_two_code,web_pages
Ecole Nationale Supérieur des Ingénieur des Etudes et Techniques d'Armement,France,FR,http://www.ensieta.fr/
Ecole Nationale Supérieure des Industries Textiles de Mulhouse,France,FR,http://www.ensitm.fr/
Ecole Normale Supérieure de Lyon,France,FR,http://www.ens-lyon.fr/
Ecole Nationale Supérieur de Mécanique et d'Aéronautique,France,FR,http://www.ensma.fr/
Ecole Nationale Supérieure des Mines d'Alès,France,FR,https://www.mines-ales.fr/
Ecole Nationale Supérieure des Mines de Douai,France,FR,http://www.ensm-douai.fr/
Ecole Nationale Supérieure des Mines de Paris,France,FR,http://www.ensmp.fr/
Ecole Nationale Supérieure de Physique de Marseille,France,FR,http://www.enspm.u-3mrs.fr/
Ecole Nationale Supérieure de Techniques Avancées,France,FR,http://www.ensta.fr/
Ecole Nationale Supérieure des Telecommunications de Bretagne,France,FR,http://www.enst-bretagne.fr/
Ecole Nationale Supérieure des Telecommunications de Paris,France,FR,http://www.enst.fr/
Ecole Nationale des Travaux Publics de l'Etat,France,FR,http://www.entpe.fr/
Ecole Nationale Vétérinaire de Toulouse,France,FR,http://www.envt.fr/
EPF Ecole d'Ingénieurs,France,FR,http://www.epf.fr/
Ecole Supérieure d'Agriculture de Purpan,France,FR,http://www.esa-purpan.fr/
Ecole Supérieure de Commerce de Bordeaux,France,FR,http://www.esc-bordeaux.fr/
Ecole Supérieure de Commerce de Brest,France,FR,http://www.esc-brest.fr/
Ecole Supérieure de Commerce de Clermont-Ferrand,France,FR,http://www.esc-clermont.fr/
Ecole Supérieure de Commerce de Dijon,France,FR,http://www.escdijon.com/
Ecole Supérieure de Commerce et Management,France,FR,http://www.escem.fr/
Ecole Supérieure de Commerce de Lille,France,FR,http://www.esc-lille.fr/
Ecole Supérieure de Commerce de Marseille-Provence,France,FR,http://www.esc-marseille.fr/
Ecole Supérieure de Commerce de Nantes-Atlantique,France,FR,http://www.escna.fr/
Ecole Supérieure de Commerce de Le Havre/Caen,France,FR,http://www.esc-normandie.fr/
Ecole Supérieure de Chimie Organique et Minérale,France,FR,http://www.escom.fr/
Ecole Supérieure de Commerce de Pau,France,FR,http://www.esc-pau.fr/
Ecole Supérieure de Commerce de Paris,France,FR,http://www.escp.fr/
Ecole Supérieure de Commerce de Reims,France,FR,http://www.esc-reims.edu/
Ecole Supérieure de Commerce de Rouen,France,FR,http://www.esc-rouen.fr/
Ecole Supérieure de Commerce de Toulouse,France,FR,http://www.esc-toulouse.fr/
Ecole Supérieure d'Electronique de l'Ouest,France,FR,http://www.eseo.fr/
Ecole Supérieure Internationale d'Administration des Entreprises,France,FR,http://www.esiae.fr/
Ecole Supérieure d'Informatique-Electronique-Automatique,France,FR,http://www.esiea.fr/
Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique,France,FR,http://www.esiee.fr/
Ecole Supérieure d'Ingénieurs en Génie Electrique,France,FR,http://www.esigelec.fr/
Ecole Supérieure d'Ingénieurs de Marseille,France,FR,http://esim.imt-mrs.fr/
Ecole Supérieure d'Ingénieurs et de Techniciens pour l'Agriculture,France,FR,http://www.esitpa.org/
Ecole Spéciale de Mécanique et d'Electricité,France,FR,http://www.esme.fr/
Ecole Supérieure de Physique et de Chimie Industrielles,France,FR,http://www.espci.fr/
Ecole Supérieure des Sciences Commerciales d'Angers,France,FR,http://www.essca.asso.fr/
Ecole Supérieure des Sciences Economiques et Commerciales,France,FR,http://www.essec.fr/
Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,France,FR,http://www.esstin.u-nancy.fr/
Ecole Spéciale des Travaux Publics du Bâtiment et de l'Industrie,France,FR,http://www.estp.fr/
Ecole Universitaire d'Ingénieurs de Lille,France,FR,http://www.eudil.fr/
Université Catholique de Lille,France,FR,http://www.fupl.asso.fr/
Grenoble Ecole de Management,France,FR,http://www.grenoble-em.com/
Ecole Supérieure d'Agriculture d'Angers,France,FR,http://www.groupe-esa.com/
École des Hautes Études Commerciales (HEC Business School),France,FR,http://www.hec.fr/
Ecole des Hautes Etudes Industrielles de Lille,France,FR,http://www.hei.fr/
Institut Catholique d'Arts et Métiers Lille,France,FR,http://www.icam.fr/
Institut Commercial de Nancy,France,FR,http://www.icn-nancy.com/
Institut Catholique de Paris,France,FR,http://www.icp.fr/
Institut Catholique de Toulouse,France,FR,http://www.ict-toulouse.asso.fr/
Institut d'Etudes Politiques de Bordeaux,France,FR,http://www.iep.u-bordeaux.fr/
Ecole Nationale Supérieure du Pétrole et des Monteurs,France,FR,http://www.ifp.fr/EC/EC000GP1.html
Institut National Polytechnique de Toulouse,France,FR,http://www.inp-fc.fr/
Institut National Polytechnique de Lorraine,France,FR,http://www.inpl-nancy.fr/
Institut National des Sciences Appliquées de Lyon,France,FR,http://www.insa-lyon.fr/
Institut National des Sciences Appliquées de Rennes,France,FR,http://www.insa-rennes.fr/
Institut National des Sciences Appliquées de Rouen,France,FR,http://www.insa-rouen.fr/
Institut National des Sciences Appliquées de Toulouse,France,FR,http://www.insa-tlse.fr/
Institut des hautes études économiques et commerciales,France,FR,http://www.inseec.fr/
Institut National des Télécommunications,France,FR,http://www.int-evry.fr/
Ecole Supérieure d'Optique,France,FR,http://www.iota.u-psud.fr/~ecole/
Institut de Recherche et Coordination Acoustique/Musique,France,FR,http://www.ircam.fr/
Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique,France,FR,http://www.ireste.fr/
Institut Supérieur Agricole de Beauvais,France,FR,http://www.isab.fr/
Institut Supérieur d'Agriculture Lille,France,FR,http://www.isa.fupl.asso.fr/
Institut Supérieur d'Agriculture Rhone-Alpes,France,FR,http://www.isara.fr/
Institut Supérieure d'Electronique du Nord,France,FR,http://www.isen.fr/
Institut Supérieure d'Electronique de Paris,France,FR,http://www.isep.fr/
Institut des Sciences de l'Ingénieur de Montpellier,France,FR,http://www.isim.univ-montp2.fr/
Centre d'Etudes Supérieures des Techniques Industrielles,France,FR,http://www.ismcm-cesti.fr/
Institut des Sciences de la Matière et du Rayonnement,France,FR,http://www.ismra.fr/
Institut Textile et Chimique de Lyon,France,FR,http://www.itech.fr/
Sorbonne Université - Faculté des Sciences (Paris VI),France,FR,https://sciences.sorbonne-universite.fr/
Ecole Nationale Supérieure des Mines de Nancy,France,FR,http://www.mines.u-nancy.fr/
Université Michel de Montaigne (Bordeaux III ),France,FR,http://www.montaigne.u-bordeaux.fr/
Université Montesquieu (Bordeaux IV),France,FR,http://www.montesquieu.u-bordeaux.fr/
Ecole d'Architecture de Nancy,France,FR,http://www.nancy.archi.fr/
Université Paris-Sorbonne (Paris IV),France,FR,http://www.paris4.sorbonne.fr/
Ecole Nationale Supérieure d'Arts et Métiers de Paris,France,FR,http://www.paris.ensam.fr/
Ecole Polytechnique Universitaire de Lille,France,FR,http://www.polytech-lille.fr/
Ecole Polytechnique Marseille,France,FR,http://www.polytech-marseille.fr/
École Polytechnique,France,FR,http://www.polytechnique.fr/
"Schiller International University, Paris",France,FR,http://www.schillerparis.com/
"Schiller International University, Strasbourg",France,FR,http://www.schillerstrasbourg.com/
Institut d'Etudes Politiques de Paris (Sciences Po),France,FR,http://www.sciences-po.fr/
Université Denis Diderot (Paris VII),France,FR,http://www.sigu7.jussieu.fr/
Ecole Superieure Robert de Sorbon,France,FR,http://www.sorbon.fr/
Ecole Nationale Supérieure de l'Aéronautique et de l'Espace,France,FR,http://www.supaero.fr/
Groupe Sup de Co Amiens Picardie,France,FR,http://www.supco-amiens.fr/
Groupe Sup de Co Montpellier,France,FR,http://www.supco-montpellier.fr/
Ecole Supérieure d'Electricité,France,FR,http://www.supelec.fr/
Université d'Aix-Marseille III,France,FR,http://www.u-3mrs.fr/
Université Victor Segalen (Bordeaux II),France,FR,http://www.u-bordeaux2.fr/
Université Bourgogne - Franche-Comté,France,FR,http://www.ubfc.fr/
Université de Cergy-Pontoise,France,FR,http://www.u-cergy.fr/
Université d'Auvergne (Clermont-Ferrand I),France,FR,http://www.u-clermont1.fr/
Université Catholique de l' Ouest,France,FR,http://www.uco.fr/
Université Grenoble Alpes,France,FR,https://www.univ-grenoble-alpes.fr/
Université Rennes II - Haute-Bretagne,France,FR,http://www.uhb.fr/
Université Henri Poincaré (Nancy I),France,FR,http://www.uhp-nancy.fr/
Université de Caen Basse Normandie,France,FR,http://www.unicaen.fr/
Université de Nice-Sophia Antipolis,France,FR,http://www.unice.fr/
Université de Limoges,France,FR,http://www.unilim.fr/
Université d'Angers,France,FR,http://www.univ-angers.fr/
Université d'Artois,France,FR,http://www.univ-artois.fr/
Université d'Avignon,France,FR,http://www.univ-avignon.fr/
Université Blaise Pascal (Clermont-Ferrand II),France,FR,http://www.univ-bpclermont.fr/
Université de Bretagne Occidentale,France,FR,http://www.univ-brest.fr/
Université Catholique de Lyon,France,FR,http://www.univ-catholyon.fr/
Université de Corse Pascal Paoli,France,FR,http://www.univ-corse.fr/
Université d'Evry Val d'Essonne,France,FR,http://www.univ-evry.fr/
Ecole Nationale Supérieure de Chimie de Toulouse,France,FR,http://www.univ-inpt.fr/~ensct/
Université du Havre,France,FR,http://www.univ-lehavre.fr/
Université du Maine,France,FR,http://www.univ-lemans.fr/
Université des Sciences et Technologies de Lille (Lille I),France,FR,http://www.univ-lille1.fr/
Université du Droit et de la Sante (Lille II),France,FR,http://www.univ-lille2.fr/
Université Charles-de-Gaulle (Lille III),France,FR,http://www.univ-lille3.fr/
