name,country,alpha_two_code,web_pages
University of Manchester,United Kingdom,GB,http://www.manchester.ac.uk/
Middlesex University - London,United Kingdom,GB,https://www.mdx.ac.uk/
Imperial College School of Medicine,United Kingdom,GB,http://www.med.ic.ac.uk/
The Manchester Metropolitan University,United Kingdom,GB,http://www.mmu.ac.uk/
Edinburgh Napier University,United Kingdom,GB,https://www.napier.ac.uk/
Newcastle University,United Kingdom,GB,https://www.ncl.ac.uk/
"University of Wales, Newport",United Kingdom,GB,http://www.newport.ac.uk/
Newport International University,United Kingdom,GB,http://www.niu.org.uk/
University of Northampton,United Kingdom,GB,http://www.northampton.ac.uk/
University of Nottingham,United Kingdom,GB,http://www.nottingham.ac.uk/
Nottingham Trent University,United Kingdom,GB,http://www.ntu.ac.uk/
Open University,United Kingdom,GB,http://www.open.ac.uk/
University of Oxford,United Kingdom,GB,http://www.ox.ac.uk/
University of Paisley,United Kingdom,GB,http://www.paisley.ac.uk/
University of Plymouth,United Kingdom,GB,http://www.plymouth.ac.uk/
University of Portsmouth,United Kingdom,GB,http://www.port.ac.uk/
"Queen Mary, University of London",United Kingdom,GB,http://www.qmul.ac.uk/
The Queen's University Belfast,United Kingdom,GB,http://www.qub.ac.uk/
"Royal Academy of Music, University of London",United Kingdom,GB,http://www.ram.ac.uk/
Royal College of Art,United Kingdom,GB,http://www.rca.ac.uk/
"Royal College of Music, University of London",United Kingdom,GB,http://www.rcm.ac.uk/
University of Reading,United Kingdom,GB,http://www.rdg.ac.uk/
"Royal Free Hospital School of Medicine, University of London",United Kingdom,GB,http://www.rfhsm.ac.uk/
The Robert Gordon University,United Kingdom,GB,http://www.rgu.ac.uk/
Royal Holloway and Bedford New College,United Kingdom,GB,http://www.royalholloway.ac.uk/
Richmond University - The American International University in London,United Kingdom,GB,http://www.richmond.ac.uk/
Roehampton University of Surrey,United Kingdom,GB,http://www.roehampton.ac.uk/
University of Salford,United Kingdom,GB,http://www.salford.ac.uk/
"School of Advanced Study, University of London",United Kingdom,GB,http://www.sas.ac.uk/
South Bank University,United Kingdom,GB,http://www.sbu.ac.uk/
"Schiller International University, London",United Kingdom,GB,http://www.schillerlondon.ac.uk/
Stratford College London,United Kingdom,GB,http://www.sclondon.ac/
"Saint George's Hospital Medical School, University of London",United Kingdom,GB,http://www.sghms.ac.uk/
The University of Sheffield,United Kingdom,GB,https://www.sheffield.ac.uk/
Sheffield Hallam University,United Kingdom,GB,http://www.shu.ac.uk/
Swansea Metropolitan University,United Kingdom,GB,http://www.smu.ac.uk/
"School of Oriental and African Studies, University of London",United Kingdom,GB,http://www.soas.ac.uk/
Southampton Solent University,United Kingdom,GB,http://www.solent.ac.uk/
Sotheby´s Institute of Art - London,United Kingdom,GB,http://www.sothebysinstitutelondon.com/
University of Southampton,United Kingdom,GB,http://www.southampton.ac.uk/
"School of Slavonic and East European Studies, University of London",United Kingdom,GB,http://www.ssees.ac.uk/
Staffordshire University,United Kingdom,GB,http://www.staffs.ac.uk/
University of St. Andrews,United Kingdom,GB,https://www.st-andrews.ac.uk/
University of Stirling,United Kingdom,GB,http://www.stir.ac.uk/
"St.Patrick's International College, London",United Kingdom,GB,http://www.st-patricks.ac.uk/
University of Strathclyde,United Kingdom,GB,http://www.strath.ac.uk/
University of Sunderland,United Kingdom,GB,http://www.sunderland.ac.uk/
University of Surrey,United Kingdom,GB,http://www.surrey.ac.uk/
University of Sussex,United Kingdom,GB,http://www.sussex.ac.uk/
"University of Wales, Swansea",United Kingdom,GB,http://www.swan.ac.uk/
Trinity College of Music,United Kingdom,GB,http://www.tcm.ac.uk/
University of Teesside,United Kingdom,GB,http://www.tees.ac.uk/
Trinity College Carmarthen,United Kingdom,GB,http://www.trinity-cm.ac.uk/
Thames Valley University,United Kingdom,GB,http://www.tvu.ac.uk/
"University College London, University of London",United Kingdom,GB,http://www.ucl.ac.uk/
University of Central Lancashire,United Kingdom,GB,http://www.uclan.ac.uk/
University Campus Suffolk,United Kingdom,GB,http://www.ucs.ac.uk/
University of East Anglia,United Kingdom,GB,http://www.uea.ac.uk/
University of East London,United Kingdom,GB,http://www.uel.ac.uk/
University of Kent at Canterbury,United Kingdom,GB,http://www.ukc.ac.uk/
"School of Pharmacy, University of London",United Kingdom,GB,http://www.ulsop.ac.uk/
University of Ulster,United Kingdom,GB,http://www.ulst.ac.uk/
"United Medical and Dental Schools, University of London",United Kingdom,GB,http://www.umds.ac.uk/
University of North London,United Kingdom,GB,http://www.unl.ac.uk/
Northumbria University,United Kingdom,GB,https://www.northumbria.ac.uk/
University of Wales College of Medicine,United Kingdom,GB,http://www.uwcm.ac.uk/
"University of the West of England, Bristol",United Kingdom,GB,http://www.uwe.ac.uk/
"University of Wales Institute, Cardiff",United Kingdom,GB,http://www.uwic.ac.uk/
University of Wales,United Kingdom,GB,http://www.wales.ac.uk/
Warnborough University,United Kingdom,GB,http://www.warnborough.edu/
University of Warwick,United Kingdom,GB,http://www.warwick.ac.uk/
University of Westminster,United Kingdom,GB,http://www.westminster.ac.uk/
William Gilbert College,United Kingdom,GB,http://www.williamgilbert.co.uk/
Wimbledon School of Art,United Kingdom,GB,http://www.wimbledon.ac.uk/
University of Wolverhampton,United Kingdom,GB,http://www.wlv.ac.uk/
University of Worcester,United Kingdom,GB,http://www.worc.ac.uk/
University of York,United Kingdom,GB,http://www.york.ac.uk/
Middlesbrough College,United Kingdom,GB,https://www.mbro.ac.uk/
St Mary's University,United Kingdom,GB,https://www.stmarys.ac.uk/home.aspx
Leeds Trinity University,United Kingdom,GB,https://www.leedstrinity.ac.uk/
East Coast College,United Kingdom,GB,https://www.eastcoast.ac.uk/
Swansea University,United Kingdom,GB,https://www.swansea.ac.uk/
York St. John University,United Kingdom,GB,https://www.yorksj.ac.uk/
Cardiff and Vale College,United Kingdom,GB,https://cavc.ac.uk/
Wakefield College,United Kingdom,GB,https://wakefield.ac.uk
London Interdisciplinary School,United Kingdom,GB,https://www.lis.ac.uk/
HULT Business School,United Kingdom,GB,https://www.hult.edu/campuses/london/postgraduate/
University of Bath,United Kingdom,GB,https://bath.ac.uk
Ulster University,United Kingdom,GB,https://www.ulster.ac.uk/
Up Learn Business School,United Kingdom,GB,https://uplearnbusinessschool.com/
Newcastle College,United Kingdom,GB,https://www.ncl-coll.ac.uk/
Bridgwater & Taunton College,United Kingdom,GB,https://www.btc.ac.uk/
Runshaw College,United Kingdom,GB,https://www.runshaw.ac.uk/
West Suffolk College,United Kingdom,GB,https://www.wsc.ac.uk/
