name,country,alpha_two_code,web_pages
Guangzhou Normal University,China,CN,http://www.guangztc.edu.cn/
Guangxi Medical University,China,CN,http://www.gxmu.edu.cn/
Guangxi Normal University,China,CN,http://www.gxnu.edu.cn/
Guangxi Traditional Chinese Medical University,China,CN,http://www.gxtcmu.edu.cn/
Guangxi University,China,CN,http://www.gxu.edu.cn/
Guangxi University for Nationalities,China,CN,http://www.gxun.edu.cn/
Guangzhou Academy of Fine Art,China,CN,http://www.gzarts.edu.cn/
Guangzhou University of Traditional Chinese Medicine,China,CN,http://www.gzhtcm.edu.cn/
Guangzhou University,China,CN,http://www.gzhu.edu.cn/
Guizhou Normal University,China,CN,http://www.gznu.edu.cn/
Sun Yat-Sen University of Medical Sciences,China,CN,http://www.gzsums.edu.cn/
Guizhou University,China,CN,http://www.gzu.edu.cn/
Hainan Normal University,China,CN,http://www.hainnu.edu.cn/
Hainan University,China,CN,http://www.hainu.edu.cn/
Hebei Academy of Fine Art,China,CN,http://www.hbafa.com/
Hebei University,China,CN,http://www.hbu.edu.cn/
University of Petroleum (East China),China,CN,http://www.hdpu.edu.cn/
Hebei Agricultural University,China,CN,http://www.hebau.edu.cn/
Hebei United University,China,CN,http://www.hebeiuniteduniversity.com/
Hebei Medical University,China,CN,http://www.hebmu.edu.cn/
Hebei Normal University,China,CN,http://www.hebnu.edu.cn/
Hebei University of Science and Technology,China,CN,http://www.hebust.edu.cn/
Hebei University of Technology,China,CN,http://www.hebut.edu.cn/
Henan Normal University,China,CN,http://www.henannu.edu.cn/
Henan Agriculture University,China,CN,http://www.henau.edu.cn/
Henan Univeristy,China,CN,http://www.henu.edu.cn/
Hebei University of Economics and Trade,China,CN,http://www.heuet.edu.cn/
Hefei University of Technology,China,CN,http://www.hfut.edu.cn/
Huaihai Institute of Technology,China,CN,http://www.hhit.edu.cn/
Huaihua Radio and Television University,China,CN,http://www.hhrtu.com/
Huanghe Science & Technology University,China,CN,http://www.hhstu.edu.cn/
Hohai University Changzhou,China,CN,http://www.hhuc.edu.cn/
Hehai University,China,CN,http://www.hhu.edu.cn/
Harbin Institute of Technology,China,CN,http://www.hit.edu.cn/
