name,country,alpha_two_code,web_pages
Universitas Muhammadiyah Yogyakarta,Indonesia,ID,http://www.umy.ac.id/
Universitas Advent Indonesia,Indonesia,ID,http://www.unai.edu/
Universitas Airlangga,Indonesia,ID,http://www.unair.ac.id/
Universitas Andalas,Indonesia,ID,http://www.unand.ac.id/
Universitas Nasional Jakarta,Indonesia,ID,http://www.unas.ac.id/
Universitas Cenderawasih,Indonesia,ID,http://www.uncen.ac.id/
Universitas Nusa Cendana,Indonesia,ID,http://www.undana.ac.id/
Universitas Diponegoro,Indonesia,ID,http://www.undip.ac.id/
Universitas Jember,Indonesia,ID,http://www.unej.ac.id/
Universitas Negeri Surabaya,Indonesia,ID,http://www.unesa.ac.id/
Universitas Negeri Gorontalo,Indonesia,ID,http://www.ung.ac.id/
Universitas Haluoleo,Indonesia,ID,http://www.unhalu.ac.id/
Universitas Amir Hamzah,Indonesia,ID,http://www.unhamzah.ac.id/
Universitas Hasanuddin,Indonesia,ID,http://www.unhas.ac.id/
Universitas Bengkulu,Indonesia,ID,http://www.unib.ac.id/
Universitas Bojonegoro,Indonesia,ID,http://www.unigoro.ac.id/
Universitas Katolik Soegijapranoto,Indonesia,ID,http://www.unika.ac.id/
Universitas Pekalongan,Indonesia,ID,http://www.unikal.ac.id/
Universitas Kediri,Indonesia,ID,http://www.unik-kediri.ac.id/
Universitas Komputer Indonesia,Indonesia,ID,http://www.unikom.ac.id/
Universitas Lampung,Indonesia,ID,http://www.unila.ac.id/
Universitas Lancang Kuning,Indonesia,ID,http://unilak.ac.id/
Universitas Negeri Manado,Indonesia,ID,http://www.unima.ac.id/
Universitas Negeri Medan,Indonesia,ID,http://www.unimed.ac.id/
Universitas Islam Nusantara,Indonesia,ID,http://www.uninus.ac.id/
Universitas Pesantren Darul Ulum Jombang,Indonesia,ID,http://www.unipdu.ac.id/
Universitas Madura,Indonesia,ID,http://www.unira.ac.id/
Universitas Islam Bandung,Indonesia,ID,http://www.unisba.ac.id/
Universitas Islam Malang,Indonesia,ID,http://www.unisma.ac.id/
Universitas Muhammadiyah Makassar,Indonesia,ID,http://www.unismuh.ac.id/
Universitas Slamet Riyadi Surakarta,Indonesia,ID,http://www.unisri.ac.id/
Universitas Islam Sultan Agung,Indonesia,ID,http://www.unissula.ac.id/
Universitas Islam Syekh-Yusuf,Indonesia,ID,http://www.unistangerang.ac.id/
Unitomo Surabaya,Indonesia,ID,http://www.unitomo.ac.id/
Universitas Trilogi,Indonesia,ID,http://www.universitas-trilogi.ac.id/
Universitas Trunojoyo Madura,Indonesia,ID,http://www.trunojoyo.ac.id/
Universitas Pancasila,Indonesia,ID,http://www.univpancasila.ac.id/
Universitas PGRI Adi Buana Surabaya,Indonesia,ID,http://www.unipasby.ac.id/
Universitas Jambi,Indonesia,ID,http://www.unja.ac.id/
Universitas Negeri Jakarta,Indonesia,ID,http://www.unj.ac.id/
Universitas Jenderal Achmad Yani,Indonesia,ID,http://www.unjani.ac.id/
Universitas Khairun,Indonesia,ID,http://www.unkhair.ac.id/
Universitas Krisnadwipayana,Indonesia,ID,http://www.unkris.ac.id/
Universitas Lambung Mangkurat,Indonesia,ID,http://www.unlam.ac.id/
Universitas Negeri Makassar,Indonesia,ID,http://www.unm.ac.id/
Universitas Mahasaraswati Denpasar,Indonesia,ID,http://www.unmas.org/
Universitas Merdeka Malang,Indonesia,ID,http://www.unmer.ac.id/
Universitas Merdeka Madiun,Indonesia,ID,http://www.unmer-madiun.ac.id/
Universitas Muhammadiyah Jember,Indonesia,ID,http://www.unmuhjember.ac.id/
Universitas Muhammadiyah Mataram,Indonesia,ID,http://www.unmuhmataram.com/
Universitas Mulawarman,Indonesia,ID,http://www.unmul.ac.id/
STMIK Widya Cipta Dharma,Indonesia,ID,http://www.wicida.ac.id/
Universitas Negeri Semarang,Indonesia,ID,http://www.unnes.ac.id/
Universitas Negeri Padang,Indonesia,ID,http://www.unp.ac.id/
Universitas Padjadjaran,Indonesia,ID,http://www.unpad.ac.id/
Universitas Pakuan,Indonesia,ID,http://www.unpak.ac.id/
Universitas Katolik Parahyangan,Indonesia,ID,http://www.unpar.ac.id/
Universitas Pasundan,Indonesia,ID,http://www.unpas.ac.id/
Universitas Pattimura,Indonesia,ID,http://www.unpatti.ac.id/
Universitas Ngurah Rai,Indonesia,ID,http://www.unr.ac.id/
Universitas Mataram,Indonesia,ID,http://www.unram.ac.id/
Universitas Riau,Indonesia,ID,http://www.unri.ac.id/
Universitas Sebelas Maret,Indonesia,ID,http://www.uns.ac.id/
Universitas Darma Persada,Indonesia,ID,http://www.unsada.ac.id/
Universitas Siliwangi,Indonesia,ID,http://www.unsil.ac.id/
Universitas Jenderal Soedirman,Indonesia,ID,http://www.unsoed.ac.id/
Universitas Sam Ratulangi,Indonesia,ID,http://www.unsrat.ac.id/
Universitas Sriwijaya,Indonesia,ID,http://www.unsri.ac.id/
Universitas Swadaya Gunung Djati,Indonesia,ID,http://www.unswagati-crb.ac.id/
Universitas Syiah Kuala,Indonesia,ID,http://www.unsyiah.ac.id/
Universitas Tadulako,Indonesia,ID,http://www.untad.ac.id/
Universitas 17 Agustus 1945 Surabaya,Indonesia,ID,http://www.untag.ac.id/
Universitas 17 Agustus 1945 Banyuwangi,Indonesia,ID,http://www.untag-banyuwangi.ac.id/
Universitas 17 Agustus 1945 Cirebon,Indonesia,ID,http://www.untagcirebon.info/
Universitas 17 Agustus 1945 Jakarta,Indonesia,ID,http://www.untag-jkt.org/
Universitas 17 Agustus 1945 Samarinda,Indonesia,ID,http://www.untag-smd.ac.id/
Universitas 17 Agustus 1945 Semarang,Indonesia,ID,http://www.untagsmg.ac.id/
Universitas Tanjungpura,Indonesia,ID,http://www.untan.ac.id/
Universitas Tarumanagara,Indonesia,ID,http://www.untar.ac.id/
Universitas Sultan Ageng Tirtayasa,Indonesia,ID,http://www.untirta.ac.id/
Universitas Udayana,Indonesia,ID,http://www.unud.ac.id/
Universitas Wijaya Kusuma Purwokerto,Indonesia,ID,http://www.unwiku.ac.id/
Universitas Negeri Yogyakarta,Indonesia,ID,http://www.uny.ac.id/
Universitas Proklamasi 45,Indonesia,ID,http://www.up45.ac.id/
Universitas Pelita Harapan,Indonesia,ID,http://www.uph.edu/
Universitas Pendidikan Indonesia,Indonesia,ID,http://www.upi.edu/
"Universitas Pembangunan Nasional ""Veteran"" Jakarta",Indonesia,ID,http://www.upnvj.ac.id/
"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",Indonesia,ID,http://www.upnjatim.ac.id/
"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",Indonesia,ID,http://www.upnyk.ac.id/
Universitas Palangka Raya,Indonesia,ID,http://www.upr.ac.id/
Universitas Pancasakti Tegal,Indonesia,ID,http://www.upstegal.ac.id/
Universitas Sanata Dharma,Indonesia,ID,http://www.usd.ac.id/
Universitas Simalungun,Indonesia,ID,http://www.usi.ac.id/
Universitas Semarang,Indonesia,ID,http://www.usm.ac.id/
Universitas Sumatera Utara,Indonesia,ID,http://www.usu.ac.id/
Universitas Terbuka Indonesia,Indonesia,ID,http://www.ut.ac.id/
Universitas Tidar Magelang,Indonesia,ID,http://www.untidar.ac.id/
Universitas Tunas Pembangunan,Indonesia,ID,http://www.utp.ac.id/
Universitas Widya Gama Malang,Indonesia,ID,http://www.widyagama.ac.id/
Universitas Katolik Widya Karya,Indonesia,ID,http://www.widyakarya.ac.id/
Universitas Widyatama,Indonesia,ID,http://www.widyatama.ac.id/
Universitas Wijaya Kusuma Surabaya,Indonesia,ID,http://www.wijayakusumasby.ac.id/
Universitas Katolik Widya Manadala,Indonesia,ID,http://www.wima.ac.id/
Universitas Wisnuwardhana,Indonesia,ID,http://www.wisnuwardhana.ac.id/
Universitas Persada Indonesia Y.A.I,Indonesia,ID,http://www.yai.ac.id/
Universitas Yarsi,Indonesia,ID,http://www.yarsi.ac.id/
Duta Bangsa University,Indonesia,ID,https://udb.ac.id/
Akademi Farmasi Yarsis Pekanbaru,Indonesia,ID,https://akfaryarsiptk.ac.id
